system|artal_start|artal_slut|organisationsnummer|foretagsnummer|loneartsnummer|personalkategori|loneart_kod|loneart_namn|loneart_formel|underlagstyp_skatt|loneart_konto|loneart_motkonto|ej_underlag_soc_avg|kostnadsavdrag_sov_avg|kostnadsavdrag_soc_avg_procent|fora|kap_kl
Flex Lön|1973|2022|098765-4321|921|1|(STD)|1|Pension||Tabellskatt|7490||true||0||
Flex Lön|1973|2022|098765-4321|921|4|(STD)|4|Ersättning engångsskatt||Engångsskatt|7011||||0||
Flex Lön|1973|2022|098765-4321|921|5|(STD)|5|Konteringsfördelning||Ej Skatt|||||0||
Flex Lön|1973|2022|098765-4321|921|6|(STD)|6|Särskild ersättning||Engångsskatt|7011||||0|true|true
Flex Lön|1973|2022|098765-4321|921|8|(STD)|8|Ersättning ej pensionsgr||Tabellskatt|7011||||0||
Flex Lön|1973|2022|098765-4321|921|9|(STD)|9|Ersättning pensionsgr||Tabellskatt|7011||||0|true|true
Flex Lön|1973|2022|098765-4321|921|10|(STD)|10|Timlön|Apris=Timlön|Tabellskatt|7012||||0|true|true
Flex Lön|1973|2022|098765-4321|921|11|(STD)|11|Timlön vid ändrad anst|Apris=Timlön|Tabellskatt|7011||||0|true|true
Flex Lön|1973|2022|098765-4321|921|14|(STD)|14|Timlön månadsanst|Apris= (Månadslön + N1) /165|Tabellskatt|7011||||0|true|true
Flex Lön|1973|2022|098765-4321|921|19|(STD)|19|Timlön retroaktiv||Engångsskatt|7011||||0|true|true
Flex Lön|1973|2022|098765-4321|921|19|TIM|19|Timlön retroaktiv||Engångsskatt|7012||||0|true|true
Flex Lön|1973|2022|098765-4321|921|30|(STD)|30|80/90/100 modell, debet|Om HelMånad¤Belopp= N9¤Annars¤Apris = N9/ AntalKdgrUtbetalningsmånad¤Antal =  AntalKdgrTransDatum¤Belopp = Apris*Antal¤Slut Om|Tabellskatt|7011||||0||true
Flex Lön|1973|2022|098765-4321|921|31|(STD)|31|80/90/100 modell, kredit|Om HelMånad¤Belopp= N9¤Annars¤Apris = N9/ AntalKdgrUtbetalningsmånad¤Antal =  AntalKdgrTransDatum¤Belopp = Antal * Apris¤Slut Om|Tabellskatt|7011||||0||
Flex Lön|1973|2022|098765-4321|921|38|(STD)|38|80/90/100 retro, debet||Engångsskatt|7011||||0||true
Flex Lön|1973|2022|098765-4321|921|39|(STD)|39|80/90/100 retro, kredit||Engångsskatt|7011||||0||
Flex Lön|1973|2022|098765-4321|921|60|(STD)|60|Arbetsdagar timanställd||Ej Skatt|||true||0||
Flex Lön|1973|2022|098765-4321|921|62|(STD)|62|Ruta 62 Första anställd|Antal = 1|Tabellskatt|||||0||
Flex Lön|1973|2022|098765-4321|921|70|(STD)|70|Månadslön|Om HelMånad¤Belopp= MånadslönFakt + N9¤Apris = 0¤Annars¤Antal =  AntalKdgrTransDatum¤Apris = (MånadslönFakt+ N9)/ AntalKdgrUtbetalningsmånad¤Belopp = Antal*Apris¤Slut Om¤Omfattning= VeckoarbetstidFakt/Veckoarbetstid|Tabellskatt|7011||||0|true|true
Flex Lön|1973|2022|098765-4321|921|71|(STD)|71|Daglön, del av månad|Om HelMånad¤Belopp=MånadslönFakt+ N9¤Apris = 0¤Annars¤Antal =  AntalKdgrTransDatum¤Apris = (MånadslönFakt + N9)/ AntalKdgrAvvikelserTomMånad¤Belopp = Antal*Apris¤Slut Om|Tabellskatt|7011||||0|true|true
Flex Lön|1973|2022|098765-4321|921|74|(STD)|74|Periodens närvarotid||Tabellskatt|||||0||
Flex Lön|1973|2022|098765-4321|921|75|(STD)|75|Timmar- arbetsgivarintyg||Tabellskatt|||||0||
Flex Lön|1973|2022|098765-4321|921|79|(STD)|79|Månadslön retroaktiv||Engångsskatt|7011||||0|true|true
Flex Lön|1973|2022|098765-4321|921|80|(STD)|80|Uppehållslön|Om HelMånad¤Belopp=(MånadslönFakt+N2+N9)*N16¤Apris=0¤Annars¤Antal=AntalKdgrTransDatum¤Apris=(MånadslönFakt+N2+N9)*N16/AntalKdgrUtbetalningsmånad¤Belopp=Antal*Apris¤Slut Om|Tabellskatt|7011||||0|true|true
Flex Lön|1973|2022|098765-4321|921|81|(STD)|81|Uppehållslöneavdrag|Om HelMånad¤Belopp=(MånadslönFakt+N2+N9)*(1-N16)¤Apris=0¤Annars¤Antal=AntalKdgrTransDatum¤Apris =(MånadslönFakt+N2+N9)*(1-N16)/AntalKdgrUtbetalningsmånad¤Belopp=Antal*Apris¤Slut Om|Tabellskatt|7011||||0|true|true
Flex Lön|1973|2022|098765-4321|921|85|(STD)|85|Arvode A-Sink socavg||Tabellskatt|7110||||0||
Flex Lön|1973|2022|098765-4321|921|86|(STD)|86|Arvode A- Sink ej socavg||Tabellskatt|7110||true||0||
Flex Lön|1973|2022|098765-4321|921|87|(STD)|87|Arvode A-Sink kostn avdr||Tabellskatt|7110|||true|30||
Flex Lön|1973|2022|098765-4321|921|90|(STD)|90|Arvode uppdragstagare||Tabellskatt|7120||||0||
Flex Lön|1973|2022|098765-4321|921|91|(STD)|91|Arvode beslutande organ||Tabellskatt|7130||||0||
Flex Lön|1973|2022|098765-4321|921|92|(STD)|92|Arvode verkst organ||Tabellskatt|7140||||0||
Flex Lön|1973|2022|098765-4321|921|93|(STD)|93|Arvode artister||Tabellskatt|7110|||true|30||
Flex Lön|1973|2022|098765-4321|921|94|(STD)|94|Arvode till kyrkvärdar||Tabellskatt|7160||||0||
Flex Lön|1973|2022|098765-4321|921|95|(STD)|95|Arvode revisorer||Tabellskatt|7150||||0||
Flex Lön|1973|2022|098765-4321|921|98|(STD)|98|Ers förl arb.ink beslut||Tabellskatt|7130||||0||
Flex Lön|1973|2022|098765-4321|921|99|(STD)|99|Ers förl arb.ink verkst||Tabellskatt|7140||||0||
Flex Lön|1973|2022|098765-4321|921|100|(STD)|100|Avgångsvederlag||Tabellskatt|7017||||0|true|
Flex Lön|1973|2022|098765-4321|921|101|(STD)|101|Avgångsvederlag engångs||Engångsskatt|7017||||0|true|
Flex Lön|1973|2022|098765-4321|921|102|(STD)|102|Månadslön arbetsbefriad|Om HelMånad¤Belopp= MånadslönFakt + N9¤Apris = 0¤Annars¤Antal =  AntalKdgrTransDatum¤Apris = (MånadslönFakt+ N9)/ AntalKdgrUtbetalningsmånad¤Belopp = Antal*Apris¤Slut Om|Tabellskatt|7011||||0|true|true
Flex Lön|1973|2022|098765-4321|921|103|(STD)|103|Pens.gr avgångsvederlag||Tabellskatt|7017||||0|true|true
Flex Lön|1973|2022|098765-4321|921|107|(STD)|107|Extra arbuppg enl 18.1|Apris=Timlön*1.2|Tabellskatt|7011||||0|true|true
Flex Lön|1973|2022|098765-4321|921|107|TIM|107|Extra arbuppg enl 18.1|Apris=Timlön*1.2|Tabellskatt|7012||||0|true|true
Flex Lön|1973|2022|098765-4321|921|108|(STD)|108|Extra arbuppg enl 18.2|Apris=Timlön*1.8|Tabellskatt|7011||||0|true|true
Flex Lön|1973|2022|098765-4321|921|108|TIM|108|Extra arbuppg enl 18.2|Apris=Timlön*1.8|Tabellskatt|7012||||0|true|true
Flex Lön|1973|2022|098765-4321|921|109|(STD)|109|Extra arbuppg enl 18.3|Apris=Timlön*2.4|Tabellskatt|7011||||0|true|true
Flex Lön|1973|2022|098765-4321|921|109|TIM|109|Extra arbuppg enl 18.3|Apris=Timlön*2,4|Tabellskatt|7012||||0|true|true
Flex Lön|1973|2022|098765-4321|921|110|(STD)|110|Lönetillägg|Om HelMånad¤Belopp= N2¤Apris = 0¤Annars¤Antal =  AntalKdgrTransDatum¤Apris = N2/ AntalKdgrUtbetalningsmånad¤Belopp = Antal*Apris¤Slut Om|Tabellskatt|7011||||0|true|true
Flex Lön|1973|2022|098765-4321|921|111|(STD)|111|Bruttolöneavdrag||Tabellskatt|7018||||0|true|true
Flex Lön|1973|2022|098765-4321|921|115|(STD)|115|Utbetalning komp|Apris= (Månadslön+N1)*0.0073|Tabellskatt|7011||||0|true|true
Flex Lön|1973|2022|098765-4321|921|116|(STD)|116|Korrigering flex/timbank|Apris= (Månadslön + N1) /165|Engångsskatt|7011||||0|true|true
Flex Lön|1973|2022|098765-4321|921|210|(STD)|210|Övertid enkel|Apris=(Månadslön+N1)/165*1,8|Tabellskatt|7011||||0|true|true
Flex Lön|1973|2022|098765-4321|921|210|TIM|210|Övertid enkel|Apris= Timlön*0,8|Tabellskatt|7012||||0|true|true
Flex Lön|1973|2022|098765-4321|921|211|(STD)|211|Övertid kvalificerad|Apris=(Månadslön+N1)/165*2,4|Tabellskatt|7011||||0|true|true
Flex Lön|1973|2022|098765-4321|921|211|TIM|211|Övertid kvalificerad|Apris=Timlön*1,4|Tabellskatt|7012||||0|true|true
Flex Lön|1973|2022|098765-4321|921|212|(STD)|212|Fyllnadslön|Apris=(Månadslön+N1)/165*1,2|Tabellskatt|7011||||0|true|true
Flex Lön|1973|2022|098765-4321|921|212|TIM|212|Fyllnadslön|Apris= Timlön*1,2|Tabellskatt|7012||||0|true|true
Flex Lön|1973|2022|098765-4321|921|213|(STD)|213|Timlön vid övertid|Apris=Timlön|Tabellskatt|7012||||0|true|true
Flex Lön|1973|2022|098765-4321|921|219|(STD)|219|Övertid retroaktiv||Engångsskatt|7011||||0|true|true
Flex Lön|1973|2022|098765-4321|921|228|(STD)|228|Tillägg för OB punkt 7.1|Apris= LKTOB71|Tabellskatt|7011||||0|true|true
Flex Lön|1973|2022|098765-4321|921|228|TIM|228|Tillägg för OB punkt 7.1|Apris= LKTOB71|Tabellskatt|7012||||0|true|true
Flex Lön|1973|2022|098765-4321|921|229|(STD)|229|Tillägg för OB punkt 7.2|Apris= LKTOB72|Tabellskatt|7011||||0|true|true
Flex Lön|1973|2022|098765-4321|921|229|TIM|229|Tillägg för OB punkt 7.2|Apris= LKTOB72|Tabellskatt|7012||||0|true|true
Flex Lön|1973|2022|098765-4321|921|230|(STD)|230|OB-tillägg D, kväll|Apris= LKOBD|Tabellskatt|7011||||0|true|true
Flex Lön|1973|2022|098765-4321|921|230|TIM|230|OB-ersättning D, kväll|Apris= LKOBD|Tabellskatt|7012||||0|true|true
Flex Lön|1973|2022|098765-4321|921|231|(STD)|231|OB-tillägg C, natt|Apris = LKOBC|Tabellskatt|7011||||0|true|true
Flex Lön|1973|2022|098765-4321|921|231|TIM|231|OB-ersättning C, natt|Apris = LKOBC|Tabellskatt|7012||||0|true|true
Flex Lön|1973|2022|098765-4321|921|232|(STD)|232|OB-tillägg B, helg|Apris = LKOBB|Tabellskatt|7011||||0|true|true
Flex Lön|1973|2022|098765-4321|921|232|TIM|232|OB-ersättning B, helg|Apris = LKOBB|Tabellskatt|7012||||0|true|true
Flex Lön|1973|2022|098765-4321|921|233|(STD)|233|OB-tillägg A,storhelg|Apris = LKOBA|Tabellskatt|7011||||0|true|true
Flex Lön|1973|2022|098765-4321|921|233|TIM|233|OB-ersättning A,storhelg|Apris = LKOBA|Tabellskatt|7012||||0|true|true
Flex Lön|1973|2022|098765-4321|921|240|(STD)|240|Beredskap <151 tim/mån|Apris = LKBER1|Tabellskatt|7011||||0|true|true
Flex Lön|1973|2022|098765-4321|921|240|TIM|240|Beredskap <151 tim/mån|Apris = LKBER1|Tabellskatt|7012||||0|true|true
Flex Lön|1973|2022|098765-4321|921|241|(STD)|241|Beredskap helg <151 tim|Apris = LKBER1 * 2|Tabellskatt|7011||||0|true|true
Flex Lön|1973|2022|098765-4321|921|241|TIM|241|Beredskap helg <151 tim|Apris = LKBER1 * 2|Tabellskatt|7012||||0|true|true
Flex Lön|1973|2022|098765-4321|921|242|(STD)|242|Beredskap  >150 tim|Apris = LKBER2|Tabellskatt|7011||||0|true|true
Flex Lön|1973|2022|098765-4321|921|242|TIM|242|Beredskap  >150 tim|Apris = LKBER2|Tabellskatt|7012||||0|true|true
Flex Lön|1973|2022|098765-4321|921|243|(STD)|243|Beredskap helg >150 tim|Apris = LKBER2*2|Tabellskatt|7011||||0|true|true
Flex Lön|1973|2022|098765-4321|921|243|TIM|243|Beredskap helg >150 tim|Apris =LKBER2*2|Tabellskatt|7012||||0|true|true
Flex Lön|1973|2022|098765-4321|921|255|(STD)|255|Telefonjour präster||Tabellskatt|7011||||0|true|true
Flex Lön|1973|2022|098765-4321|921|260|(STD)|260|Förskjuten arbt fridag|Apris = LKFAFRI|Tabellskatt|7011||||0|true|true
Flex Lön|1973|2022|098765-4321|921|261|(STD)|261|Förskjuten arbt fri+50|Apris = LKFAFRI*1,5|Tabellskatt|7011||||0|true|true
Flex Lön|1973|2022|098765-4321|921|262|(STD)|262|Förskjuten arbt övrig|Apris = LKFAÖVR|Tabellskatt|7011||||0|true|true
Flex Lön|1973|2022|098765-4321|921|263|(STD)|263|Förskjuten arbt övr +50|Apris = LKFAÖVR*1,5|Tabellskatt|7011||||0|true|true
Flex Lön|1973|2022|098765-4321|921|270|(STD)|270|Färdtidsersättning 1-10|Apris = LKFTE1|Tabellskatt|7011||||0|true|true
Flex Lön|1973|2022|098765-4321|921|271|(STD)|271|Färdtidsersättning > 10|Apris = LKFTE2|Tabellskatt|7011||||0|true|true
Flex Lön|1973|2022|098765-4321|921|289|(STD)|289|ANVÄNDS EJ||Tabellskatt|7011||||0|true|true
Flex Lön|1973|2022|098765-4321|921|290|(STD)|290|Kyrkoherdevikariat||Tabellskatt|7011||||0|true|true
Flex Lön|1973|2022|098765-4321|921|291|(STD)|291|Lägerersättning mån-tors|Apris = LKLÄGMT|Tabellskatt|7011||||0|true|true
Flex Lön|1973|2022|098765-4321|921|291|TIM|291|Lägerersättning mån-tors|Apris = LKLÄGMT|Tabellskatt|7012||||0|true|true
Flex Lön|1973|2022|098765-4321|921|292|(STD)|292|Lägerersättning fre-sön|Apris = LKLÄGFS|Tabellskatt|7011||||0|true|true
Flex Lön|1973|2022|098765-4321|921|292|TIM|292|Lägerersättning fre-sön|Apris = LKLÄGFS|Tabellskatt|7012||||0|true|true
Flex Lön|1973|2022|098765-4321|921|293|(STD)|293|Lägerersättning LOK|Belopp=Antal*Apris|Tabellskatt|7011||||0|true|true
Flex Lön|1973|2022|098765-4321|921|293|TIM|293|Lägerersättning LOK||Tabellskatt|7012||||0|true|true
Flex Lön|1973|2022|098765-4321|921|298|(STD)|298|Kyrkoherdevik retroaktiv||Engångsskatt|7011||||0|true|true
Flex Lön|1973|2022|098765-4321|921|299|(STD)|299|Tjänstepensionpremie||Engångsskatt|7011||||0||
Flex Lön|1973|2022|098765-4321|921|299|TIM|299|Tjänstepensionpremie||Engångsskatt|7012||||0||
Flex Lön|1973|2022|098765-4321|921|300|(STD)|300|Flexsaldo||Ej Skatt|||||0||
Flex Lön|1973|2022|098765-4321|921|310|(STD)|310|Kompsaldo|Antal=(LartA(316)*1,5)+(LartA(317)*2)-LartA(115)-LartA(555)-LartA(311)+LartA(315)|Ej Skatt|||true||0||
Flex Lön|1973|2022|098765-4321|921|311|(STD)|311|Kompledighet||Ej Skatt|||||0||
Flex Lön|1973|2022|098765-4321|921|315|(STD)|315|Övertid till komp, 1||Ej Skatt|||||0||
Flex Lön|1973|2022|098765-4321|921|316|(STD)|316|Övertid till komp, 1,5||Ej Skatt|||||0||
Flex Lön|1973|2022|098765-4321|921|317|(STD)|317|Övertid till komp, 2,0||Ej Skatt|||||0||
Flex Lön|1973|2022|098765-4321|921|398|(STD)|398|Justering löneart 299 +||Tabellskatt|7011||||0||
Flex Lön|1973|2022|098765-4321|921|399|(STD)|399|Justering löneart 299 -|Belopp = LartB(398) * -1|Tabellskatt|7011||true||0||
Flex Lön|1973|2022|098765-4321|921|400|(STD)|400|Karensavdrag|Om N21 = 0 Och N16 = 0¤KALENDERDAGLON = ((MånadslönFakt+ N2+N9)/AntalKdgrTransFromMånad)¤Annars Om N21 <> 0 Och N16 = 0¤KALENDERDAGLON = (((MånadslönFakt+ N2+N9)*((100-N21)/100))/AntalKdgrTransFromMånad)¤Annars Om N21 = 0 Och N16 <> 0¤KALENDERDAGLON = ((MånadslönFakt+ N2+N9)*N16/AntalKdgrTransFromMånad)¤Annars Om N21 <> 0 Och N16 <> 0¤KALENDERDAGLON = (((MånadslönFakt+ N2+N9)*((100-N21)/100))*N16/AntalKdgrTransFromMånad)¤SLUT Om¤KARENS = KALENDERDAGLON * 1,4 * 0,8¤FOREGANEDEKARENS = DatumLartB(400) * -1¤KARENS = KARENS - FOREGANEDEKARENS¤SJUKLON = DatumLartB(403)¤Om (KARENS+FOREGANEDEKARENS) > SJUKLON¤Belopp = SJUKLON - FOREGANEDEKARENS¤Annars¤Belopp = KARENS¤SLUT Om|Tabellskatt|7011||||0|true|
Flex Lön|1973|2022|098765-4321|921|400|TIM|400|Karensavdrag|Om N21 = 0 Och N16 = 0¤KALENDERDAGLON = ((LartA(10)*Timlön)/AntalKdgrTransFromMånad)¤Annars Om N21 <> 0 Och N16 = 0¤KALENDERDAGLON = (((LartA(10)*Timlön)*((100-N21)/100))/AntalKdgrTransFromMånad)¤Annars Om N21 = 0 Och N16 <> 0¤KALENDERDAGLON = ((LartA(10)*Timlön)*N16/AntalKdgrTransFromMånad)¤Annars Om N21 <> 0 Och N16 <> 0¤KALENDERDAGLON = (((LartA(10)*Timlön)*((100-N21)/100))*N16/AntalKdgrTransFromMånad)¤SLUT Om¤KARENS = KALENDERDAGLON * 1,4 * 0,8¤FOREGANEDEKARENS = DatumLartB(400) * -1¤KARENS = KARENS - FOREGANEDEKARENS¤SJUKLON = DatumLartB(403)¤Om (KARENS+FOREGANEDEKARENS) > SJUKLON¤Belopp = SJUKLON - FOREGANEDEKARENS¤Annars¤Belopp = KARENS¤SLUT Om|Tabellskatt|7012||||0|true|
Flex Lön|1973|2022|098765-4321|921|401|(STD)|401|Sjukavdrag karensdag|Om N16=0¤Apris=((((MånadslönFakt+N2+N9))/AntalKdgrAvvikelserTomMånad)*(LL01*1,4))*Omfattning¤Annars¤Apris=((((MånadslönFakt+N2+N9)*N16)/AntalKdgrAvvikelserTomMånad)*(LL01*1,4))*Omfattning¤Slut Om|Tabellskatt|7011||||0|true|
Flex Lön|1973|2022|098765-4321|921|401|TIM|401|Sjukavdrag karensdag|Apris= Timlön|Tabellskatt|7012||||0|true|
Flex Lön|1973|2022|098765-4321|921|402|(STD)|402|Sjukavdrag dag 1 - 14|Om N16=0¤Apris=((((MånadslönFakt+N2+N9))/AntalKdgrAvvikelserTomMånad)*(LL01*1,4))*Omfattning¤Annars¤Apris=((((MånadslönFakt+N2+N9)*N16)/AntalKdgrAvvikelserTomMånad)*(LL01*1,4))*Omfattning¤Slut Om|Tabellskatt|7011||||0|true|
Flex Lön|1973|2022|098765-4321|921|402|TIM|402|Sjukavdrag dag 1 - 14|Apris= Timlön|Tabellskatt|7012||||0|true|
Flex Lön|1973|2022|098765-4321|921|403|(STD)|403|Sjuklön 80% dag 1 - 14|Om N16=0¤Apris=((((MånadslönFakt+N2+N9))/AntalKdgrAvvikelserTomMånad)*(LL01*1,4))*Omfattning*0.8¤Annars¤Apris=((((MånadslönFakt+N2+N9)*N16)/AntalKdgrAvvikelserTomMånad)*(LL01*1,4))*Omfattning*0.8¤Slut Om|Tabellskatt|7080||||0|true|
Flex Lön|1973|2022|098765-4321|921|403|TIM|403|Sjuklön 80%|Apris = Timlön*0,8|Tabellskatt|7012||||0|true|
Flex Lön|1973|2022|098765-4321|921|404|(STD)|404|Sjukavdrag dag 15 - 90|Om HelMånad¤Apris= 0¤Om N16= 0¤Belopp= (MånadslönFakt+N2+N9)*Omfattning¤Annars¤Belopp= ((MånadslönFakt* N16)+N2+N9)*Omfattning¤Slut Om¤Annars¤Om N16=0¤Apris=(MånadslönFakt+N2+N9)/ AntalKdgrAvvikelserTomMånad* Omfattning¤Belopp=Antal*Apris¤Annars¤Apris=((MånadslönFakt* N16)+N2+N9)/ AntalKdgrAvvikelserTomMånad* Omfattning¤Belopp= Antal*Apris¤Slut Om¤Slut Om|Tabellskatt|7011||||0|true|
Flex Lön|1973|2022|098765-4321|921|404|TIM|404|Sjukavdrag dag 15 - 90|Apris= Timlön|Tabellskatt|7012||||0|true|
Flex Lön|1973|2022|098765-4321|921|405|(STD)|405|Sjuklön 10% dag 15-90|Om HelMånad¤Apris= 0¤Om N16= 0¤Belopp= (MånadslönFakt + N2+ N9)*Omfattning*0.1¤Annars¤Belopp= ((MånadslönFakt* N16) + N2+ N9)*Omfattning*0.1¤Slut Om¤Annars¤Om N16=0¤Apris=(MånadslönFakt + N2+ N9)/ AntalKdgrAvvikelserTomMånad* Omfattning*0.1¤Belopp=Antal*Apris¤Annars¤Apris=((MånadslönFakt* N16) + N2+ N9)/ AntalKdgrAvvikelserTomMånad* Omfattning*0.1¤Belopp= Antal*Apris¤Slut Om¤Slut Om|Tabellskatt|7080||||0|true|
Flex Lön|1973|2022|098765-4321|921|405|TIM|405|Sjuklön dag 15-90|Apris= Timlön*0.1|Tabellskatt|7012||||0|true|
Flex Lön|1973|2022|098765-4321|921|406|(STD)|406|Sjukavdrag > 90dgr|Om HelMånad¤Apris= 0¤Om N16= 0¤Belopp= (MånadslönFakt+N2+N9)*Omfattning¤Annars¤Belopp= ((MånadslönFakt* N16)+N2+N9)*Omfattning¤Slut Om¤Annars¤Om N16=0¤Apris=(MånadslönFakt+N2+N9)/ AntalKdgrAvvikelserTomMånad* Omfattning¤Belopp=Antal*Apris¤Annars¤Apris=((MånadslönFakt* N16)+N2+N9)/ AntalKdgrAvvikelserTomMånad* Omfattning¤Belopp= Antal*Apris¤Slut Om¤Slut Om|Tabellskatt|7011||||0|true|
Flex Lön|1973|2022|098765-4321|921|406|TIM|406|Sjukavdrag > 90dgr|Apris=Timlön|Tabellskatt|7012||||0|true|
Flex Lön|1973|2022|098765-4321|921|407|(STD)|407|Sjuklön >10 Pbb|Apris= ((((MånadslönFakt + N2+ N9) /AntalKdgrAvvikelserTomMånad) * 0.776) - ((((Prisbasbelopp * 0,8333)*12)/365)*0.776))*Omfattning|Tabellskatt|7080||||0|true|
Flex Lön|1973|2022|098765-4321|921|409|(STD)|409|Sjukavdrag retroaktiv||Engångsskatt|7011||||0|true|
Flex Lön|1973|2022|098765-4321|921|410|(STD)|410|Sjukavdrag innev månad|Om HelMånad¤Apris= 0¤Om N16= 0¤Belopp= (MånadslönFakt + N2+ N9)*Omfattning¤Annars¤Belopp= ((MånadslönFakt* N16) + N2+ N9)*Omfattning¤Slut Om¤Annars¤Om N16=0¤Apris=(MånadslönFakt + N2+ N9)/ AntalKdgrUtbetalningsmånad* Omfattning¤Belopp=Antal*Apris¤Annars¤Apris=((MånadslönFakt* N16) + N2+ N9)/ AntalKdgrUtbetalningsmånad* Omfattning¤Belopp= Antal*Apris¤Slut Om¤Slut Om|Tabellskatt|7011||||0|true|
Flex Lön|1973|2022|098765-4321|921|411|(STD)|411|Sjukl >10 Pbb innev mån|Apris= ((((MånadslönFakt + N2+ N9) /AntalKdgrUtbetalningsmånad) * 0.776) - ((((Prisbasbelopp * 0,8333)*12)/365)*0.776))*Omfattning|Tabellskatt|7080||||0|true|
Flex Lön|1973|2022|098765-4321|921|412|(STD)|412|Sjukavdrag >364 dgr|Om HelMånad¤Apris= 0¤Om N16= 0¤Belopp= (MånadslönFakt+N2+N9)*Omfattning¤Annars¤Belopp= ((MånadslönFakt* N16)+N2+N9)*Omfattning¤Slut Om¤Annars¤Om N16=0¤Apris=(MånadslönFakt+N2+N9)/ AntalKdgrAvvikelserTomMånad* Omfattning¤Belopp=Antal*Apris¤Annars¤Apris=((MånadslönFakt* N16)+N2+N9)/ AntalKdgrAvvikelserTomMånad* Omfattning¤Belopp= Antal*Apris¤Slut Om¤Slut Om|Tabellskatt|7011||||0|true|
Flex Lön|1973|2022|098765-4321|921|413|(STD)|413|Sjuklön >10 Pbb|Apris= ((((MånadslönFakt + N2+ N9) /AntalKdgrAvvikelserTomMånad) * 0.7275) - ((((Prisbasbelopp * 0,8333)*12)/365)*0.7275))*Omfattning|Tabellskatt|7080||||0|true|
Flex Lön|1973|2022|098765-4321|921|414|(STD)|414|Sjukavd >364 dgr innev m|Om HelMånad¤Apris= 0¤Om N16= 0¤Belopp= (MånadslönFakt + N2+ N9)*Omfattning¤Annars¤Belopp= ((MånadslönFakt* N16) + N2+ N9)*Omfattning¤Slut Om¤Annars¤Om N16=0¤Apris=(MånadslönFakt + N2+ N9)/ AntalKdgrUtbetalningsmånad* Omfattning¤Belopp=Antal*Apris¤Annars¤Apris=((MånadslönFakt* N16) + N2+ N9)/ AntalKdgrUtbetalningsmånad* Omfattning¤Belopp= Antal*Apris¤Slut Om¤Slut Om|Tabellskatt|7011||||0|true|
Flex Lön|1973|2022|098765-4321|921|415|(STD)|415|Sjukl >10 Pbb innev mån|Apris= ((((MånadslönFakt + N2+ N9) /AntalKdgrUtbetalningsmånad) * 0.7275) - ((((Prisbasbelopp * 0,8333)*12)/365)*0.7275))*Omfattning|Tabellskatt|7080||||0|true|
Flex Lön|1973|2022|098765-4321|921|421|(STD)|421|Sjukavdr ej sjukp 1-14|Om HelMånad¤Apris= 0¤Om N16= 0¤Belopp= (MånadslönFakt+N2+N9)*Omfattning¤Annars¤Belopp= ((MånadslönFakt* N16)+N2+N9)*Omfattning¤Slut Om¤Annars¤Om N16=0¤Apris=(MånadslönFakt+N2+N9)/ AntalKdgrAvvikelserTomMånad* Omfattning¤Belopp=Antal*Apris¤Annars¤Apris=((MånadslönFakt* N16)+N2+N9)/ AntalKdgrAvvikelserTomMånad* Omfattning¤Belopp= Antal*Apris¤Slut Om¤Slut Om|Tabellskatt|7011||||0|true|
Flex Lön|1973|2022|098765-4321|921|421|TIM|421|Sjukavdr ej sjukp 1-14|Apris=Timlön|Tabellskatt|7012||||0|true|
Flex Lön|1973|2022|098765-4321|921|422|(STD)|422|Sjukl 77,6% ej sjkp 1-14|Om N16=0¤Apris=(((MånadslönFakt + N2+ N9)/AntalKdgrAvvikelserTomMånad)*Omfattning)*0.776¤Annars¤Apris=((((MånadslönFakt + N2+N9)*N16)/AntalKdgrAvvikelserTomMånad)*Omfattning)*0.776¤Slut Om|Tabellskatt|7080||||0|true|
Flex Lön|1973|2022|098765-4321|921|422|TIM|422|Sjukl 77,6% ej sjkp 1-14|Apris=Timlön*0,776|Tabellskatt|7080||||0|true|
Flex Lön|1973|2022|098765-4321|921|423|(STD)|423|Sjukavdr ej sjukp 15-90|Om HelMånad¤Apris= 0¤Om N16= 0¤Belopp= (MånadslönFakt+N2+N9)*Omfattning¤Annars¤Belopp= ((MånadslönFakt* N16)+N2+N9)*Omfattning¤Slut Om¤Annars¤Om N16=0¤Apris=(MånadslönFakt+N2+N9)/ AntalKdgrAvvikelserTomMånad* Omfattning¤Belopp=Antal*Apris¤Annars¤Apris=((MånadslönFakt* N16)+N2+N9)/ AntalKdgrAvvikelserTomMånad* Omfattning¤Belopp= Antal*Apris¤Slut Om¤Slut Om|Tabellskatt|7011||||0|true|
Flex Lön|1973|2022|098765-4321|921|423|TIM|423|Sjukavdr ej sjukp 15-90|Apris=Timlön|Tabellskatt|7012||||0|true|
Flex Lön|1973|2022|098765-4321|921|424|(STD)|424|Sjukl 87,3% ej sjkp15-90|Om N16=0¤Apris=(((MånadslönFakt + N2+ N9)/AntalKdgrAvvikelserTomMånad)*Omfattning)*0.873¤Annars¤Apris=((((MånadslönFakt + N2+N9)*N16)/AntalKdgrAvvikelserTomMånad)*Omfattning)*0.873¤Slut Om|Tabellskatt|7080||||0|true|
Flex Lön|1973|2022|098765-4321|921|424|TIM|424|Sjukl 87,3% ej sjkp15-90|Apris=Timlön*0,873|Tabellskatt|7080||||0|true|
