system|artal_start|artal_slut|organisationsnummer|foretagsnummer|loneartsnummer|personalkategori|loneart_kod|loneart_namn|loneart_formel|underlagstyp_skatt|loneart_konto|loneart_motkonto|ej_underlag_soc_avg|kostnadsavdrag_sov_avg|kostnadsavdrag_soc_avg_procent|fora|kap_kl
Flex Lön|1973|2022|098765-4321|921|627|(STD)|627|Facklig utb m lön, tim||Ej Skatt|7011||true||0||
Flex Lön|1973|2022|098765-4321|921|628|(STD)|628|Facklig utb m lön dgr||Ej Skatt|7011||true||0||
Flex Lön|1973|2022|098765-4321|921|630|(STD)|630|Ensk angelägenhet -10dgr||Ej Skatt|7011||true||0||
Flex Lön|1973|2022|098765-4321|921|650|(STD)|650|Semesterjustering  < 40%||Ej Skatt|||true||0||
Flex Lön|1973|2022|098765-4321|921|659|(STD)|659|Tj led innev del av mån|Om N16=0¤Antal = AntalKdgrTransDatum¤Apris=(((MånadslönFakt + N2+ N9))/AntalKdgrUtbetalningsmånad)*Omfattning¤Belopp= Apris* Antal¤Annars¤Om N16 > 0¤Antal = AntalKdgrTransDatum¤Apris= (((MånadslönFakt + N2+N9)*N16)/AntalKdgrUtbetalningsmånad)*Omfattning¤Belopp=Apris*Antal¤Slut Om¤Slut Om|Tabellskatt|7011||||0|true|true
Flex Lön|1973|2022|098765-4321|921|660|(STD)|660|Tjänstledig innev månad|Om N16=0 Och HelMånad¤Apris =0¤Belopp= (MånadslönFakt + N2+ N9)*Omfattning¤Annars¤Om N16>0 Och HelMånad¤Belopp= ((MånadslönFakt + N2+ N9)*N16)*Omfattning¤Annars¤Om N16=0¤Apris=((((MånadslönFakt+N2+N9))/AntalKdgrUtbetalningsmånad)*(LL01*1,4))*Omfattning¤Belopp= Apris* Antal¤Annars¤Om N16 > 0¤Apris= ((((MånadslönFakt+N2+N9)*N16)/AntalKdgrUtbetalningsmånad)*(LL01*1,4))*Omfattning¤Belopp=Apris*Antal¤Slut Om¤Slut Om¤Slut Om¤Slut Om|Tabellskatt|7011||||0|true|true
Flex Lön|1973|2022|098765-4321|921|661|(STD)|661|Föräldraled innev månad|Om N16=0 Och HelMånad¤Apris =0¤Belopp= (MånadslönFakt + N2+ N9)*Omfattning¤Annars¤Om N16>0 Och HelMånad¤Belopp= ((MånadslönFakt + N2+ N9)*N16)*Omfattning¤Annars¤Om N16=0¤Apris=((((MånadslönFakt+N2+N9))/AntalKdgrUtbetalningsmånad)*(LL01*1,4))*Omfattning¤Belopp= Apris* Antal¤Annars¤Om N16 > 0¤Apris= ((((MånadslönFakt+N2+N9)*N16)/AntalKdgrUtbetalningsmånad)*(LL01*1,4))*Omfattning¤Belopp=Apris*Antal¤Slut Om¤Slut Om¤Slut Om¤Slut Om|Tabellskatt|7011||||0|true|
Flex Lön|1973|2022|098765-4321|921|662|(STD)|662|Fp-tillägg 10% innev mån|Om HelMånad¤Apris= 0¤Om N16= 0¤Belopp= (MånadslönFakt + N2)*Omfattning*0.1¤Annars¤Belopp= ((MånadslönFakt* N16) + N2)*Omfattning*0.1¤Slut Om¤Annars¤Om N16=0¤Apris=((MånadslönFakt + N2)/ AntalKdgrUtbetalningsmånad* Omfattning)*0.1¤Belopp=Antal*Apris¤Annars¤Apris=(((MånadslönFakt* N16) + N2)/ AntalKdgrUtbetalningsmånad* Omfattning)*0.1¤Belopp= Antal*Apris¤Slut Om¤Slut Om|Tabellskatt|7011||||0|true|
Flex Lön|1973|2022|098765-4321|921|663|(STD)|663|F-led >83,3% innev mån|B= ((MånadslönFakt + N2)/AntalKdgrUtbetalningsmånad)* 0.776¤C= (Prisbasbelopp*10)/365*0.776¤Apris= (B-C)*Omfattning¤Antal= AntalKdgrTransDatum¤Belopp= Antal*Apris|Tabellskatt|7011||||0|true|
Flex Lön|1973|2022|098765-4321|921|664|(STD)|664|Graviditetsp innev månad|Om N16=0 Och HelMånad¤Apris =0¤Belopp= (MånadslönFakt + N2+ N9)*Omfattning¤Annars¤Om N16>0 Och HelMånad¤Belopp= ((MånadslönFakt + N2+ N9)*N16)*Omfattning¤Annars¤Om N16=0¤Apris=((((MånadslönFakt+N2+N9))/AntalKdgrUtbetalningsmånad)*(LL01*1,4))*Omfattning¤Belopp= Apris* Antal¤Annars¤Om N16 > 0¤Apris= ((((MånadslönFakt+N2+N9)*N16)/AntalKdgrUtbetalningsmånad)*(LL01*1,4))*Omfattning¤Belopp=Apris*Antal¤Slut Om¤Slut Om¤Slut Om¤Slut Om|Tabellskatt|7011||||0|true|
Flex Lön|1973|2022|098765-4321|921|665|(STD)|665|Justering FP/GP innev m|Belopp= (((LartB(661)+LartB(664))*-1) - (MånadslönFakt+N2+N9))|Tabellskatt|7011||||0|true|
Flex Lön|1973|2022|098765-4321|921|669|(STD)|669|Fasta belopp retroaktivt||Engångsskatt|7011||||0|true|true
Flex Lön|1973|2022|098765-4321|921|669|TIM|669|Fasta belopp retroaktivt||Engångsskatt|7012||||0|true|true
Flex Lön|1973|2022|098765-4321|921|694|(STD)|694|Kompl pensionspremie||Ej Skatt|7490|2930|true||0||
Flex Lön|1973|2022|098765-4321|921|695|(STD)|695|Avdrag kompl pensionspr|Belopp=(Saldo211Per)*-1|Ej Skatt|7490|2930|true||0||
Flex Lön|1973|2022|098765-4321|921|696|(STD)|696|Pension, löneväxling|Belopp= N5|Tabellskatt|7011||||0|true|
Flex Lön|1973|2022|098765-4321|921|697|(STD)|697|Tjänstledigt retroaktiv||Engångsskatt|7011||||0|true|true
Flex Lön|1973|2022|098765-4321|921|698|(STD)|698|Närståendevård retro||Engångsskatt|7011||||0|true|true
Flex Lön|1973|2022|098765-4321|921|699|(STD)|699|Graviditetspenning retro||Engångsskatt|7011||||0|true|
Flex Lön|1973|2022|098765-4321|921|700|(STD)|700|Tillf föräldrap retro||Engångsskatt|7011||||0|true|
Flex Lön|1973|2022|098765-4321|921|701|(STD)|701|Föräldraledighet retro||Engångsskatt|7011||||0|true|
Flex Lön|1973|2022|098765-4321|921|702|(STD)|702|Led vid barns föd retro||Engångsskatt|7011||||0|true|
Flex Lön|1973|2022|098765-4321|921|703|(STD)|703|Fp-tillägg 10 % retro||Engångsskatt|7011||||0|true|
Flex Lön|1973|2022|098765-4321|921|704|(STD)|704|F-ledig mlön>83,3% retro||Engångsskatt|7011||||0|true|
Flex Lön|1973|2022|098765-4321|921|705|(STD)|705|Omvårdnadsledighet retro||Engångsskatt|7011||||0|true|
Flex Lön|1973|2022|098765-4321|921|710|(STD)|710|Utlägg inrikes||Ej Skatt|||||0||
Flex Lön|1973|2022|098765-4321|921|711|(STD)|711|Utlägg utrikes||Ej Skatt|||||0||
Flex Lön|1973|2022|098765-4321|921|712|(STD)|712|Utlägg friskvård||Ej Skatt|7693||||0||
Flex Lön|1973|2022|098765-4321|921|715|(STD)|715|Representation avdragsgi||Ej Skatt|||||0||
Flex Lön|1973|2022|098765-4321|921|716|(STD)|716|Representation ej avdr||Ej Skatt|||||0||
Flex Lön|1973|2022|098765-4321|921|717|(STD)|717|Utlägg moms||Ej Skatt|2640||true||0||
Flex Lön|1973|2022|098765-4321|921|720|(STD)|720|Friskvård via ekonomi||Ej Skatt|7693||||0||
Flex Lön|1973|2022|098765-4321|921|721|(STD)|721|Friskvård ekonomi avdrag|Belopp = LartB(720) *-1|Ej Skatt|7693||||0||
Flex Lön|1973|2022|098765-4321|921|731|(STD)|731|Bilersättning skfr|Apris= 1.85|Ej Skatt|7331||||0||
Flex Lön|1973|2022|098765-4321|921|732|(STD)|732|Bilersättning skpl|Apris= 1.55|Tabellskatt|7332||||0||
Flex Lön|1973|2022|098765-4321|921|733|(STD)|733|Mil ers motorcykel, skfr|Apris= 0.9|Ej Skatt|7331||||0||
Flex Lön|1973|2022|098765-4321|921|736|(STD)|736|Tj bil tj kilometer bens|Apris= 0.95|Ej Skatt|5611||true||0||
Flex Lön|1973|2022|098765-4321|921|737|(STD)|737|Tj bil tj kilometer dise|Apris= 0.65|Ej Skatt|5611||true||0||
Flex Lön|1973|2022|098765-4321|921|739|(STD)|739|Milers övrigt, skfr|Apris=1.85|Ej Skatt|7331||||0||
Flex Lön|1973|2022|098765-4321|921|740|(STD)|740|Milers övrigt, skpl||Tabellskatt|7332||||0||
